idx,title,url,updated,recMod,header,topics,language,notes,urlOtherTitle,urlOther
183,Wrangler GitHub Action,https://github.com/cloudflare/wrangler-action,2020-07-02,2020-07-03,official,"GitHub,deploy",Docker,Zero-config Cloudflare Workers deployment ,,
182,various,https://github.com/netnr/workers,2020-06-21,2020-07-03,Chinese,security,ES2017,,,
160,GitHub star counter ,https://github.com/idealclover/GitHub-Star-Counter,2020-05-20,2020-07-03,,"service,GitHub",TypeScript,,,
181,,https://github.com/xtlsoft/cloudflare-workers-comment-server,2019-06-29,2020-07-03,,"GitHub,service",ES2017,,,
180,Cloudflare Workers <3 Create React App,https://github.com/juiceo/cloudflare-worker-cra,2020-03-07,2020-07-03,tool,"ReactJS,template",ES2017,,,
179,Learning serverless API functions ,https://github.com/hchiam/learning-cloudflare,2020-06-02,2020-06-10,,setup,ES2017,,,
177,Google Pub/Sub API ,https://github.com/sagi/workers-pubsub,2020-06-04,2020-06-10,API,"route,pub-sub",ES2017,,,
178,Generate JWTs using the WebCrypto API ,https://github.com/sagi/workers-jwt,2020-06-04,2020-06-10,security,,ES2017,,,
157,US COVID-19 APIs,https://github.com/COVID19Tracking/website/,2020-06-08,2020-06-10,emergency-management,"REST,GraphQL,CORVID19",ES2017,scraped & hand-verifed Coronavirus data by county & states in USA,GraphQL Playground,https://covidtracking.com/api/playground
176,Golinks,https://github.com/ryanpbrewster/golinks,2020-06-08,2020-06-10,,route,ES2017,short-links,,
175,simple TODOs,https://github.com/signalnerve/cloudflare-workers-todos,,2020-06-10,,app,ES2017,,demo,https://todo.kristianfreeman.com/
174,workers-asset-cache,https://github.com/MaxRatmeyer/workers-asset-cache,2020-06-08,2020-06-10,,"proxy,cache",ES2017,proxy static content from external sources like S3 or Google Cloud ,blog,https://maxratmeyer.com/blog/caching-images-on-the-edge-with-s3-and-workers-kv/
173,Workers Types,https://github.com/cloudflare/workers-types,2020-06-09,2020-06-10,,,TypeScript,TypeScript type definitions ,,
172,TypeScript Boilerplate for Node.js,https://github.com/mastermunj/worker-typescript-boilerplate,2020-06-10,2020-06-10,,template,TypeScript,"EsLint, Prettier, GI actions, Jest, etc",,
171,Typescript Server & Client Template,https://github.com/GregBrimble/cf-workers-typescript-template,2020-06-10,2020-06-10,,"template,frontend",TypeScript,Typescript Server & Client Template,,
169,Edgesearch,https://github.com/wilsonzlin/edgesearch,2020-06-10,2020-06-10,boss,"search,WASM",Rust,"full-text search using, WebAssembly & Roaring Bitmaps",,
161,workers-typescript-template,https://github.com/EverlastingBugstopper/worker-typescript-template,2020-06-02,2020-06-10,,template,TypeScript,"with mocha tests, prettier",,
168,Official Gatsby deployment docs,https://www.gatsbyjs.org/docs/deploying-to-cloudflare-workers/,2020-03-25,2020-03-26,official,"GatsbyJS,deploy,article",,,,
167,Polyfill the worker API for local testing,https://github.com/digi3colin/node-cloudflare-worker-test-utils,2020-03-13,2020-03-18,,test,ES2017,,,
166,CLI KV store tool,https://github.com/saibotsivad/cloudflare-worker-key-value,2020-02-08,2020-03-18,tool,"CLI,KV",ES2017,,,
165,GraphQL Gateway Example,https://github.com/primaryfit/api,2019-09-18,2020-03-18,,GraphQL,ES2017,Uses graphql/graphql & dataloader ,,
164,Advanced Business Application Programming Template,https://github.com/open-abap/cloudflare-abap-template,2020-03-15,2020-03-18,,"ABAP,template",ES2017,,,
163,Workers KV  - file hosting,https://github.com/judge2020/cloudflare-file-hosting,2020-03-15,2020-03-18,,"KV,static",ES2017,,,
162,Workers for www.mozilla.org,https://github.com/mozmeao/www-workers,2020-03-16,2020-03-18,,,ES2017,,,
60,Cloudflare Workers Time Tests,https://github.com/EverlastingBugstopper/cf-workers-benchmark,2020-03-16,2020-03-18,tool,"tool,test",ES2017,Example development environment with three patterns for benchmarking Cloudflare edge workers,,
117,Minimal Middlware Router,https://github.com/markusahlstrand/cloudworker-router,2020-02-20,2020-03-18,,"route,library",ES2017,"small (3,36KB) koajs-router-style router for cloudflare workers.",,
121,Blog app,https://telex.blog/,2019-10-24,2020-03-18,,KV,ES2017,Write posts anonymously,source,https://github.com/panda-sandeep/telex
159,various @ nchlswhttkr/workers,https://github.com/nchlswhttkr/workers,2020-03-18,2020-03-18,msc,"route,Slack,tool",ES2017,"Rush/pnpm mono repo: GoLang interpreter, newsletter, WebHooks, +",,
158,Siujoeng-Lau/Workers-Proxy,https://github.com/Siujoeng-Lau/Workers-Proxy,2020-02-15,2020-03-18,app,"proxy,localization",ES2017,has many examples,demo,https://cdn.reverse-proxy.live/
135,feature-rich api gateway ,https://github.com/markusahlstrand/cloudworker-proxy,2020-03-12,2020-03-18,API,"tool,route,AWS,GCS",ES2017,"invoke Lambadas & GC, load balance, static res, logging, auth, rate limiting, mod headers",example,https://proxy.cloudproxy.io/
73,Wrangler: offiical CLI tool,https://github.com/cloudflare/wrangler,2020-03-18,2020-03-18,official,"WASM,CLI,tool",Rust,"available via `npm` & `cargo`, can build & deploy JS, Rust, & C/C++ projects via templates",brief tutorial,https://dev.to/cloudflareworkers/a-brief-guide-to-what-s-new-with-cloudflare-workers-di8
67,Run Cloudflare Worker scripts locally,https://github.com/dollarshaveclub/cloudworker,2020-03-08,2020-03-18,local-dev,"tool,local-dev",ES2017,"uses Docker, nice API, includes WASM build support",,
156,API for COVID-19 stats in India,https://github.com/amodm/api-covid19-in,2020-03-17,2020-03-18,emergency-management,"REST,health,CORVID19",ES2017,scrapes Ministry of Health and Family Welfare & unofficial sources,,
155,Wes Bros tries CfWorkers,https://youtu.be/48NWaLkDcME,2020-02-18,2020-03-18,,"article,example",ES2017,Popular JS instructor tries out CfWorkers,,
154,Security Headers,https://scotthelme.co.uk/security-headers-cloudflare-worker/,2018-03-18,2020-03-03,,"security,article",,set security headers when you use certain hosted solutions like Ghost Pro or GitHub Pages,,
153,CFW Webpack Boilerplate,https://github.com/detroitenglish/cloudflare-workers-webpack-boilerplate,2019-07-12,2020-02-25,,"tool,template,deploy",ES2017,"A minimal-config template for building, bundling and deploying Cloudflare Workers with Webpack",,
152,Blogging w/Gatsby & headless Ghost CMS,https://www.mskog.com/posts/changing-my-blog-from-hugo-to-gatsby/,2020-02-15,2020-02-23,,"CMS,article",,,,
151,Moving MCVersions.net with Sites,https://nodecraft.com/blog/development/moving-mcversions-serverless-with-cloudflare-workers-sites,2020-02-06,2020-02-23,,"Sites,article",,,,
150,Google Drive Index,https://github.com/maple3142/GDIndex,2020-01-04,2020-02-23,,VueJS,ES2017,,demo,https://gdindex-demo.maple3142.workers.dev/
149, wilsonzlin/edgesearch,https://github.com/wilsonzlin/edgesearch,2020-02-15,2020-02-23,boss,"REST,service",Rust,full text search API using WebAssembly,,
148,kv-orm/cf-workers ,kv-orm/cf-workers ,2020-02-19,2020-02-23,,KV,TypeScript,,,
147,worker-pastebin,https://github.com/PeterCxy/worker-pastebin,2020-02-19,2020-02-23,,tool,CoffeeScript ,,,
146,ethereum-worker,https://github.com/shalzz/ethereum-worker,2020-02-16,2020-02-23,,"cache,blockchain",TypeScript,caching layer for an ethereum node ,,
145,Crafthead,https://github.com/astei/crafthead,2020-02-20,2020-02-23,,service,ES2017,Super scalable Minecraft avatar generation,demo,https://crafthead.net/
144,placeholders.dev,https://placeholders.dev/,2020-02-22,2020-02-22,boss,"service,REST",ES2017,Generate custom SVG placeholder images,source,https://github.com/Cherry/placeholders.dev
143,Abused CfWorker Used to Inject Korean SEO Spam,https://blog.sucuri.net/2020/02/abused-cloudflare-workers-service-used-to-inject-korean-seo-spam.html,2020-02-13,2020-02-21,security,"article,SEO,inject",,SEO spam showed only in Google search results,,
142,Setup CfWorkers on a Custom Domain,https://www.andressevilla.com/how-to-setup-cloudflare-workers-on-a-custom-domain/,2019-12-11,2020-02-21,,"article,setup",,,,
141,Hosting Static Wordpress Sites,https://developers.cloudflare.com/workers/tutorials/hosting-static-wordpress-sites/,2019-11-01,2020-02-21,boss,"WordPress,article,static",ES2017,"WP2Static, then setup Workers project",YouTube,https://youtu.be/LR7YF1z4VzM
132, TomasHubelbauer;s setup tutorial,https://github.com/TomasHubelbauer/cloudflare-worker,2020-01-13,2020-02-19,,tutorial,ES2017,setting up and basic usage checklist,,
139,Use Cloudflare JS Workers to Deploy Your SSG,https://levelup.gitconnected.com/use-cloudflare-javascript-workers-to-deploy-you-static-generated-site-ssg-1c518e078646,2020-01-30,2020-02-17,article,"setup,static,NextJS",ES2017,Complete tutorial: config at Cloudflare's admin dashboard to using KV to store versions.,,
46,simple todo list app using KV & 2 workers,https://github.com/signalnerve/cloudflare-workers-todos,2019-05-23,2020-02-17,,"app,frontend,KV",ES2017,"includes static HTML, Cf KV, get & put workers",DEV.to,https://dev.to/cloudflareworkers/building-a-to-do-list-application-with-cloudflare-workers-and-kv-504d
10,Maintenance Mode static page,https://www.resdevops.com/2018/03/20/cloudflare-workers-maintenance-mode-static-page/,2018-03-20,2020-02-17,,"article,static",ES2017,includes PowerShell script to toggle,,
79,Writing an API at the Edge with Firestore,https://blog.cloudflare.com/api-at-the-edge-workers-and-firestore/,2019-03-21,2020-02-13,,"article,app,GCS",ES2017,uses Google's Cloud Firestore for storage & JWT for authentication,,
138,Kristian Freeman's interview at Sanity.io,https://www.sanity.io/blog/how-cloudflares-built-with-workers-was-built,2020-02-11,2020-02-13,article,"interview,video",,How Cloudflare built their showcase site for Workers on Sanity.io and Gatsby… and Workers,YouTube,https://www.youtube.com/watch?time_continue=1007&v=udI-pnsWzpc&feature=emb_title
137,Axios uses CfWorkers,https://www.axios.com/new-axios-website-google-amp-563e62ba-8708-4965-8f5e-3216bd268383.html,2020-02-06,2020-02-06,boss,article,,"""gradual rollout, perform A/B testing, and perform ESI-style page-stitching""",,
136,tiny-request-router ,https://github.com/berstend/tiny-request-router,2020-01-05,2020-02-05,API,route,TypeScript,"battle-tested, fast, generic and type safe router ",,
31,proxies-on-cloudflare,https://github.com/GitbookIO/proxies-on-cloudflare,2019-12-22,2020-02-05,,"proxy,loadbalance",TypeScript,"proxies for Friebase & Mixpanel, simple routing, fallbacks, etc",,
30,Blue / Green Deployments,https://github.com/DigitalOptimizationGroup/blue-green-cloudflare-workers,2019-03-26,2020-02-05,,"test,deploy,proxy",ES2017,"implementing Canary releasing and A/B testing, release versioning,bash scripts for deploying, uses cookies to lock in version",,
64,Wasabi CDN cheap website,https://github.com/mraerino/cdn-static,2018-11-23,2020-02-05,,"static,CDN",TypeScript,serves static website from wasabi.com's cheap cloud storage,,
8,API gateway / redirect,https://github.com/jamesbibby/cloudflare-api-gateway,2019-02-18,2020-02-05,,"article,REST,proxy",ES2017,reverse proxy layer to improve performance (HTTP1 vs HTTP2),,
134,cache-crawled-links-worker,https://github.com/cowchimp/cache-crawled-links-worker,2019-08-04,2020-02-03,,cache,ES2017,"proxies requests to an origin server, and pre-caches pages that the user might navigate to.",,
133,worker-graphql ,https://github.com/BorderlessLabs/worker-graphql,2020-01-12,2020-02-03,API,GraphQL,ES2017,much smaller than Apollo Server,,
129,Flash - Response Lantency Simulator,https://github.com/codeb2cc/cf-flash-slothmore,2020-01-02,2020-02-03,,test,ES2017,,,
131,@readme/cloudflare-worker,https://github.com/readmeio/cloudflare-worker,2020-01-14,2020-02-03,,log,ES2017,get your API log data into ReadMe.IO,docs,https://docs.readme.com/metrics/docs/sending-logs-to-readme-with-cloudflare
130,worker-haskell-template,https://github.com/ento/worker-haskell-template,2020-01-08,2020-02-03,msc,template,Haskell,Wrangler template for a Cloudflare Workers + Haskell (Asterius) project,,
128,Assorted demos ,https://github.com/mikaelvesavuori/cloudflare-workers-demos,2019-12-27,2020-02-03,msc,route,ES2017,"checks: if bot, moble, user-country, A/B testing, etc",,
1,cloudflare-worker-local,https://github.com/gja/cloudflare-worker-local,2019-08-01,2020-02-03,tool,"test,tool",ES2017,test a Cloudflare Worker Locally,,
118,Built with Workers Showcase,https://workers.cloudflare.com/built-with/,2020-01-29,2020-02-02,boss,"GraphQL,GatsbyJS,ReactJS",ES2017,Websites & projects built with Cloudflare Workers,source,https://github.com/cloudflare/built-with-workers
126,Elm CfWorkers example,https://github.com/choonkeat/elm-serverless-edge,2019-09-20,2020-02-02,article,example,Elm,Elm on Cloudflare Workers with KV,,
127,Cf-Worker-Kit,https://github.com/lucacasonato/workerkit,2019-12-14,2020-02-02,tool,template,TypeScript,library to make writing Cloudflare Workers way nicer ,,
125,Deploy a React App,https://developers.cloudflare.com/workers/tutorials/deploy-a-react-app/,2019-10-04,2020-02-02,article,"ReactJS,video",ES2017,,source,https://github.com/cloudflare/react-workers-template
124,GitCF,https://github.com/maple3142/gitcf,2019-10-04,2020-02-02,tool,route,ES2015,RawGit clone on CfWorkers.,demo,https://gh.maple3142.net/
123,Python Cloudflare Worker Route,https://github.com/alamsyahho/cloudflare-worker-route,2019-10-20,2020-02-02,,route,Python,,,
122,Status Page,https://github.com/RedL0tus/status-server,2019-10-22,2020-02-02,,"WASM,security",Rust,Authenticate records using HMAC-SHA512 algorithm with RustCrypto libraries & KV,,
40,Rust WASM-pack template,https://github.com/cloudflare/rustwasm-worker-template,2019-10-22,2020-02-02,,WASM,Rust,"wasm-bindgen. console_error_panic_hook (logging panic messages),. wee_alloc",,
120,Lazy Invoice PDF generator,http://lazy.invoice.workers.dev/,2019-10-24,2020-02-02,tool,pdf,ES2017,simple online invoice tool,source,https://github.com/adamschwartz/lazy.invoice.workers.dev
119,globally distributed Apollo GraphQL server,https://github.com/signalnerve/workers-graphql-server,2019-12-13,2020-02-02,GraphQL,GraphQL,ES2017,"Debugging, CORS, REST caching",Playground demo,https://graphql-on-workers.signalnerve.com/___graphql
45,Serverless framework Blueprint,https://github.com/signalnerve/serverless-cloudflare-workers-blueprint,2019-04-22,2020-02-02,local-dev,"Serverless,tool,deploy",ES2015,"configure your `.env`, & `serverless deploy` away",,
21,image shrinking with WebAssembly,https://github.com/cloudflare/cloudflare-workers-wasm-demo,2018-10-01,2020-02-02,,"optmimize,image,WASM",C,image resizing that runs on Cloudflare's edge network,,
116,Testing Cloudflare workers,https://findwork.dev/blog/testing-cloudflare-workers/,2019-10-22,2020-02-02,article,"test,tool",ES2015,"There is no extensive tutorial on how to test Cloudflare workers, so I wrote one",,
11,tools for creating an app,https://github.com/postlight/cloudflare-worker-app-kit,2019-04-03,2020-02-02,,"tool,Preact",TypeScript,build & deploy scripts,,
25,x-host: override host proxy,https://github.com/pmeenan/cf-workers/tree/master/xhost,2019-05-06,2020-02-02,,proxy,ES2017,includes Chrome plugin.  mimics WebPageTest's overrideHost command for local testing. Rewrite all requests to a different host while adding an x-Host header,,
68,Apollo Server Cloudflare & Prisma Concept,gitlab.com/travis-projects/cloudflare-workers-graphql-server,2019-02-28,2020-02-02,,GraphQL,ES2015,"uses apollo-server-cloudflare to create a GraphQL server on Cloudflare Workers, and it also uses graphql-request to connect to a Prisma server",,
72,Serverless Meetup with Cloudflare,https://www.heavybit.com/library/blog/serverless-meetup-with-cloudflare/,2018-10-17,2020-02-02,,video,ES2017,several talks describing CfWorkers,cued to examples of CFWorker usage,https://youtu.be/kGeu2GzyVKw?t=473
80,Diving into Technical SEO,https://blog.cloudflare.com/diving-into-technical-seo-cloudflare-workers/,2019-03-07,2020-02-02,article,"article,optmimize,SEO",TypeScript,"modifying incomming & outgoing requests, inject Hreflang tags,, redirects, etc",,
81,Serverless PWA using React,https://github.com/cloudflare/workers-react-pwa-example,2018-11-23,2020-02-02,article,"article,ReactJS",ES2017,terraform deploy srcipt included,Cloudflare article builds up example script,https://blog.cloudflare.com/serverless-pwa-react-cloudflare-workers/
114,Portzilla,www.cloudflare.com/apps/portzilla,2019-11-26,2020-02-02,,"app,commercial",ES2017,"A reverse-proxy on the edge, no more NGINX",demo,https://www.networkchimp.com/tutorials/portzilla-api.html
113,Fortify,www.cloudflare.com/apps/fortify,2019-11-26,2020-02-02,,"app,commercial",ES2015,Add custom HTTP headers to your in-flight requests,demo,https://www.networkchimp.com/tutorials/fortify.html
112,Edgy,www.cloudflare.com/apps/edgy,2019-09-24,2020-02-02,,"app,commercial",ES2015,"Free, on-demand Maintenance Mode for your site",demo,https://www.networkchimp.com/tutorials/edgy.html
115,Cassette,www.cloudflare.com/apps/cassette,2019-09-24,2020-02-02,,"app,commercial",ES2015,"Cache object storage assets from S3, GCS, and more on Cloudflare",demo,https://www.networkchimp.com/tutorials/cassette.html
53,Cryptocurrency API Gateway,https://github.com/stevenpack/cryptoserviceworker,2018-06-26,2019-07-07,article,"article,gatekeeper,route",TypeScript,"mini http request routing, then gateway to multiple crypto API providers in 1 file",blog.CloudFlare,https://blog.cloudflare.com/cryptocurrency-api-gateway-typescript-workers/
109,Building a To-Do List App,,2019-05-23,2019-07-07,,"article,app",ES2017,"uses CF KV also, pre-Wrangler, so work is via web interface",,
108,Living at the Edge at Dwolla,https://www.dwolla.com/updates/living-at-the-edge/,2019-06-27,2019-07-05,,"article,CI/CD",ES2017,Using environment variables & CI pipeline,,
107,ว่าง ๆ มาสร้าง Serverless function บน Cloudflare Workers กัน,http://www.somkiat.cc/deploy-serverless-on-cloudflare-workers/,2019-04-19,2019-07-05,ไทย (Thai),article,ES2017,How to use Wrangler in Thai,,
105,example Gatsby.js project ,https://github.com/signalnerve/gatsby-cloudflare-workers,2019-06-10,2019-06-30,GraphQL,ReactJS,ES2017,blog served via GatsbyJS/React,,
106,file hosting,https://github.com/judge2020/cloudflare-file-hosting,2019-06-09,2019-06-30,,app,TypeScript,Uses Workers KV to enable Cloudflare as a file host. This is currently unstable,,
104,Template: TypeScript  & Jest by udacity,https://github.com/udacity/cloudflare-typescript-worker-template,2019-06-10,2019-06-30,tool,template,TypeScript,"preconfigured starter template for building a Tslint strictly linted/formatted, Jest tested, Webpack built, TypeScript",,
